"","chr","pos"
"L1A.3","1",0
"L1A.46","1",1.5875788675834
"L1A.4","1",1.80207407868135
"L1A.2","1",2.21015318118668
"L1A.5","1",3.08039024659295
"L1A.50","1",9.09840451211176
"L1A.27","1",13.328796995097
"L1A.35","1",13.3288019950978
"L1A.34","1",17.9453372972579
"L1A.44","1",17.9453826913751
"L1A.1","1",18.3205847955393
"L1A.29","1",19.1565615369028
"L1A.38","1",20.6258855227646
"L1A.49","1",22.3465753829629
"L1A.32","1",22.8547650510828
"L1A.33","1",26.7562938586953
"L1A.6","1",29.9212245261396
"L1A.10","1",31.9802773690414
"L1A.11","1",32.9008882727629
"L1A.9","1",32.9009147104216
"L1A.12","1",33.3712454515697
"L1A.7","1",33.6149378724918
"L1A.8","1",33.9613577967134
"L1A.39","1",34.5631100623029
"L1A.13","1",35.8001263067466
"L1A.45","2",0
"L1A.20","2",1.22448542457932
"L1A.19","2",1.45251725209095
"L1A.21","2",2.95651511468787
"L1A.16","2",3.75938148089767
"L1A.15","2",4.07504609584751
"L1A.17","2",5.25041072560353
"L1A.37","2",6.34454769546135
"L1A.14","2",7.43855131373865
"L1A.18","2",8.66564248017203
"L1A.43","2",12.2559357331157
"L1A.22","2",14.3788074231608
"L1A.40","2",16.1832844937639
"L1A.24","2",17.2369737650154
"L1A.28","2",17.5749552180436
"L1A.23","2",17.5755419816397
"L1A.25","2",18.5201178668095
"L1A.26","2",20.3253236976307
"L1A.31","3",0
"L1A.41","3",0.187310048564385
"L1A.48","3",3.55841012134573
"L1A.36","3",4.34073928168244
"L1A.30","4",0
"L1A.47","4",10
"L1A.42","5",0
